raw_name,canonical_name,entity_type,confidence,resolution_method,timestamp
Liquidai,Liquidai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.458021+00:00
Inferact,Inferact,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.458243+00:00
Localai Io,Localai Io,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.458478+00:00
Reliquaryforge,Reliquaryforge,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.458701+00:00
Huawei Noah,Huawei Noah,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.458938+00:00
Stepfun Ai,Stepfun,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.459163+00:00
Kha White,Kha White,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.459396+00:00
Tiiuae,Tiiuae,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.459620+00:00
Protolabsai,Protolabsai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.459842+00:00
Lightx2V,Lightx2V,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.460064+00:00
Raxcore Dev,Raxcore Dev,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.460296+00:00
Black Forest Labs,Black Forest,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.460533+00:00
Aungmoonlord,Aungmoonlord,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.460763+00:00
Briaai,Briaai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.460991+00:00
Livekit,Livekit,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.461217+00:00
Gvs,Gvs,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.461443+00:00
Kernels Community,Kernels Community,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.461680+00:00
Alsgyu,Alsgyu,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.461900+00:00
Mradermacher,Mradermacher,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.462127+00:00
Larryvrh,Larryvrh,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.462350+00:00
Neuralbioinfo,Neuralbioinfo,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.462571+00:00
Aubmindlab,Aubmindlab,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.462802+00:00
Lfcc,Lfcc,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.463028+00:00
Zeroentropy,Zeroentropy,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.463255+00:00
Tencent,Tencent,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.463483+00:00
Lvwerra,Lvwerra,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.463749+00:00
Swiss Ai,Swiss,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.463974+00:00
Elgeish,Elgeish,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.464200+00:00
Kredor,Kredor,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.464424+00:00
Kyutai,Kyutai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.464648+00:00
Aeon 7,Aeon 7,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.464881+00:00
Yyfz233,Yyfz233,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.465102+00:00
Papluca,Papluca,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.465328+00:00
Orion Zhen,Orion Zhen,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.465560+00:00
Ai21Labs,Ai21Labs,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.465790+00:00
Pekingu,Pekingu,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.466016+00:00
Yitutech,Yitutech,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.466238+00:00
Boltzgen,Boltzgen,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.466458+00:00
Intel,Intel,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.466691+00:00
Protectai,Protectai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.466928+00:00
Wikeeyang,Wikeeyang,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.467155+00:00
